Student_ID,Name,Department,Year,Email,Phone
S001,Anitha,IT,1,anitha@gmail.com,9876543210
S002,Bala,CSE,2,bala@gmail.com,9876543211
S003,Charan,ECE,3,charan@gmail.com,9876543212
S004,Divya,EEE,4,divya@gmail.com,9876543213
S005,Ezhil,IT,1,ezhil@gmail.com,9876543214
S006,Fathima,CSE,2,fathima@gmail.com,9876543215
S007,Gokul,MECH,3,gokul@gmail.com,9876543216
S008,Hari,CIVIL,4,hari@gmail.com,9876543217
S009,Isha,IT,2,isha@gmail.com,9876543218
S010,Jeeva,CSE,1,jeeva@gmail.com,9876543219
S011,Kavi,ECE,2,kavi@gmail.com,9876543220
S012,Latha,EEE,3,latha@gmail.com,9876543221
